words, bits, size, mux, frequency,x,y,volt,ac_core_rd,ac_peri_rd,ac_core_wr,ac_peri_wr,standby_core_chipdisable,standby_peri_chipdisable,standby_core_ret1,standby_peri_ret1,standby_core_selective_precharge,standby_peri_selective_precharge,deselect_core,deselect_peri,peak_core,peak_peri,inrush_core,inrush_peri,
8192, 64, 524288, 16, 500,129.7350,556.0320,0.8500,0.342417,13.686774,0.939862,16.535576,0.012045,0.018291,0.011934,3.529,0.011794,0.013051,0.000,0.974106,43.077556,212.203715,23.070739,302.945526,
8192, 64, 524288, 16, 200,129.7350,556.0320,0.8500,0.136967,5.47471,0.375945,6.61423,0.012045,0.018291,0.011934,3.529,0.011794,0.013051,0.000,0.389643,43.077556,212.203715,23.070739,302.945526,
16384, 32, 524288, 16, 1000,217.5750,278.1600,0.8500,0.342417,15.987546,0.939862,21.157642,0.01195,0.013194,0.011941,2.982,0.011783,7.815,0.000,1.345781,22.468209,105.534534,17.889674,198.856604,
16384, 32, 524288, 16, 500,217.5750,278.1600,0.8500,0.171208,7.993773,0.469931,10.578821,0.01195,0.013194,0.011941,2.982,0.011783,7.815,0.000,0.672891,22.468209,105.534534,17.889674,198.856604,
16384, 32, 524288, 16, 200,217.5750,278.1600,0.8500,0.068483,3.197509,0.187972,4.231528,0.01195,0.013194,0.011941,2.982,0.011783,7.815,0.000,0.269156,22.468209,105.534534,17.889674,198.856604,
8192, 128, 1048576, 8, 1000,221.6250,556.0320,0.8500,0.684834,32.363815,1.879725,45.36144,0.023901,0.026811,0.023881,6.109,0.023565,0.016121,0.000,2.760215,44.717544,259.711582,32.912393,390.745661,
8192, 128, 1048576, 8, 500,221.6250,556.0320,0.8500,0.342417,16.181908,0.939862,22.68072,0.023901,0.026811,0.023881,6.109,0.023565,0.016121,0.000,1.380107,44.717544,259.711582,32.912393,390.745661,
8192, 128, 1048576, 8, 200,221.6250,556.0320,0.8500,0.136967,6.472763,0.375945,9.072288,0.023901,0.026811,0.023881,6.109,0.023565,0.016121,0.000,0.552043,44.717544,259.711582,32.912393,390.745661,
16384, 64, 1048576, 16, 1000,221.8950,556.0320,0.8500,0.684834,32.240794,1.879725,42.575572,0.023901,0.026609,0.023881,6.050,0.023565,0.015856,0.000,2.960719,44.936418,211.069068,35.779349,397.713209,
16384, 64, 1048576, 16, 500,221.8950,556.0320,0.8500,0.342417,16.120397,0.939862,21.287786,0.023901,0.026609,0.023881,6.050,0.023565,0.015856,0.000,1.48036,44.936418,211.069068,35.779349,397.713209,
16384, 64, 1048576, 16, 200,221.8950,556.0320,0.8500,0.136967,6.448159,0.375945,8.515114,0.023901,0.026609,0.023881,6.050,0.023565,0.015856,0.000,0.592144,44.936418,211.069068,35.779349,397.713209,
