Accumulator
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
accumulator_IN_24_OUT_48_clk_600,24,48,600,90,326,167.651,3988.894,880078.960,884067.855
accumulator_IN_24_OUT_48_clk_650,24,48,650,100,314,165.836,3943.105,829638.384,833581.489
accumulator_IN_24_OUT_48_clk_700,24,48,700,121,322,166.260,3890.059,779555.159,783445.218
accumulator_IN_24_OUT_48_clk_750,24,48,750,130,303,162.994,3782.741,740183.260,743966.001
accumulator_IN_24_OUT_48_clk_800,24,48,800,148,299,161.603,3648.033,685230.039,688878.072
accumulator_IN_32_OUT_48_clk_200,32,48,200,0,463,224.078,5898.070,3022286.395,3028184.465
accumulator_IN_32_OUT_48_clk_300,32,48,300,2,367,176.420,4077.452,1532407.991,1536485.443
accumulator_IN_32_OUT_48_clk_400,32,48,400,0,351,172.912,3971.714,1181244.261,1185215.976
accumulator_IN_32_OUT_48_clk_500,32,48,500,47,339,170.856,4025.523,1000727.455,1004752.978
accumulator_IN_32_OUT_48_clk_550,32,48,550,59,328,168.981,3989.225,948155.047,952144.272
accumulator_IN_32_OUT_48_clk_600,32,48,600,84,317,167.409,3926.343,881617.156,885543.498
accumulator_IN_32_OUT_48_clk_650,32,48,650,100,306,165.836,3889.561,835174.396,839063.956
accumulator_IN_32_OUT_48_clk_700,32,48,700,99,311,165.231,3793.353,789909.470,793702.822
accumulator_IN_32_OUT_48_clk_750,32,48,750,143,302,163.961,3716.946,757909.988,761626.934
accumulator_IN_32_OUT_48_clk_800,32,48,800,156,293,162.086,3643.396,706215.083,709858.479
accumulator_IN_40_OUT_48_clk_200,40,48,200,0,467,225.772,5753.395,2989735.757,2995489.152
accumulator_IN_40_OUT_48_clk_300,40,48,300,0,379,181.500,4137.369,1575763.527,1579900.896
accumulator_IN_40_OUT_48_clk_400,40,48,400,9,277,177.932,4198.555,1157590.863,1161789.418
accumulator_IN_40_OUT_48_clk_500,40,48,500,53,332,171.098,3970.030,995637.850,999607.881
accumulator_IN_40_OUT_48_clk_550,40,48,550,60,320,168.981,3939.129,943030.320,946969.449
accumulator_IN_40_OUT_48_clk_600,40,48,600,84,309,167.409,3876.640,889408.485,893285.125
accumulator_IN_40_OUT_48_clk_650,40,48,650,101,298,165.836,3835.175,846307.831,850143.006
accumulator_IN_40_OUT_48_clk_700,40,48,700,144,302,165.473,3768.365,808240.171,812008.536
accumulator_IN_40_OUT_48_clk_750,40,48,750,150,286,162.328,3614.478,761655.734,765270.211
accumulator_IN_40_OUT_48_clk_800,40,48,800,179,297,163.961,3704.593,735809.419,739514.011
accumulator_IN_48_OUT_48_clk_200,48,48,200,0,465,230.308,5790.883,3161109.225,3166900.108
accumulator_IN_48_OUT_48_clk_300,48,48,300,3,365,179.868,3997.670,1559919.765,1563917.436
accumulator_IN_48_OUT_48_clk_400,48,48,400,2,266,177.569,4212.406,1144126.605,1148339.011
accumulator_IN_48_OUT_48_clk_500,48,48,500,50,318,169.767,3831.663,989369.312,993200.975
accumulator_IN_48_OUT_48_clk_550,48,48,550,60,310,168.981,3871.620,939903.086,943774.706
accumulator_IN_48_OUT_48_clk_600,48,48,600,88,299,167.106,3802.277,891600.034,895402.310
accumulator_IN_48_OUT_48_clk_650,48,48,650,88,288,165.534,3741.124,841005.037,844746.161
accumulator_IN_48_OUT_48_clk_700,48,48,700,132,291,165.655,3711.496,808860.756,812572.251
accumulator_IN_48_OUT_48_clk_750,48,48,750,147,290,164.627,3646.664,775747.794,779394.457
accumulator_IN_48_OUT_48_clk_800,48,48,800,180,292,164.687,3642.894,749786.841,753429.736
accumulator_IN_8_OUT_56_clk_200,8,56,200,0,509,242.646,6571.098,3179039.297,3185610.396
accumulator_IN_8_OUT_56_clk_300,8,56,300,1,457,207.930,5196.312,1879317.719,1884514.031
accumulator_IN_8_OUT_56_clk_400,8,56,400,6,444,203.152,4940.234,1475895.485,1480835.719
accumulator_IN_8_OUT_56_clk_500,8,56,500,36,427,200.673,4912.786,1235336.007,1240248.793
accumulator_IN_8_OUT_56_clk_550,8,56,550,64,424,200.068,4913.715,1151467.018,1156380.732
accumulator_IN_8_OUT_56_clk_600,8,56,600,108,423,198.919,4850.485,1053917.553,1058768.038
accumulator_IN_8_OUT_56_clk_650,8,56,650,109,423,198.677,4816.791,986181.136,990997.927
accumulator_IN_8_OUT_56_clk_700,8,56,700,118,400,195.713,4744.825,923288.203,928033.027
accumulator_IN_8_OUT_56_clk_750,8,56,750,132,401,195.895,4750.604,876194.259,880944.863
accumulator_IN_8_OUT_56_clk_800,8,56,800,93,303,191.540,4645.155,793265.227,797910.382
