Mult Type,Signed/Unsigned,Max supported precision (bits),Accumulator width (bits),Activation Precision (bits),Weight Precision (bits),Clock delay (ps),Slack (ps),Cell usage,Area,Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
8x2-bit temporal mult,signed,16,34,8,2,300,0,635,300.586,9043.411,1891655.184,1900698.596
8x2-bit temporal mult,signed,16,34,8,2,400,0,442,202.789,5243.637,1183712.487,1188956.124
8x2-bit temporal mult,signed,16,34,8,2,500,0,353,189.665,4825.308,932906.037,937731.345
8x2-bit temporal mult,signed,16,34,8,2,550,1,325,177.206,4094.700,822204.742,826299.443
8x2-bit temporal mult,signed,16,34,8,2,600,0,311,174.969,4106.298,784784.678,788890.977
8x2-bit temporal mult,signed,16,34,8,2,650,24,329,170.554,3743.949,719025.821,722769.771
8x2-bit temporal mult,signed,16,34,8,2,700,73,328,170.191,3762.947,681907.983,685670.930
8x2-bit temporal mult,signed,16,34,8,2,750,125,328,170.191,3763.919,648509.140,652273.059
8x2-bit temporal mult,signed,16,34,8,2,800,0,266,164.022,3732.119,601034.997,604767.116
4x4-bit temporal mult,signed,16,34,4,4,200,-27,694,379.331,13294.737,3448005.445,3461300.182
4x4-bit temporal mult,signed,16,34,4,4,300,0,515,244.884,6965.596,1706652.387,1713617.982
