Shifter
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
shifter_IN_8_OUT_64_clk_750,8,64,750,592,158,49.170,1297.353,224943.274,226240.626
shifter_IN_8_OUT_64_clk_800,8,64,800,642,158,49.170,1296.933,215947.368,217244.301
shifter_IN_16_OUT_64_clk_200,16,64,200,36,201,64.472,1572.784,698530.440,700103.224
shifter_IN_16_OUT_64_clk_300,16,64,300,136,201,64.472,1577.674,532248.147,533825.821
shifter_IN_16_OUT_64_clk_400,16,64,400,235,201,64.472,1578.865,453618.148,455197.013
shifter_IN_16_OUT_64_clk_500,16,64,500,335,201,64.472,1577.981,396446.074,398024.055
shifter_IN_16_OUT_64_clk_550,16,64,550,385,201,64.472,1577.796,375857.733,377435.529
shifter_IN_16_OUT_64_clk_600,16,64,600,435,201,64.472,1577.286,352398.063,353975.349
shifter_IN_16_OUT_64_clk_650,16,64,650,485,201,64.472,1579.339,334123.310,335702.649
shifter_IN_16_OUT_64_clk_700,16,64,700,535,201,64.472,1578.570,318421.431,320000.002
shifter_IN_16_OUT_64_clk_750,16,64,750,585,201,64.472,1575.809,299729.235,301305.043
shifter_IN_16_OUT_64_clk_800,16,64,800,635,201,64.472,1576.971,289383.520,290960.491
shifter_IN_32_OUT_64_clk_200,32,64,200,16,280,93.986,2395.679,958275.400,960671.079
shifter_IN_32_OUT_64_clk_300,32,64,300,116,280,93.986,2371.146,847880.508,850251.654
shifter_IN_32_OUT_64_clk_400,32,64,400,223,280,93.865,2361.696,717466.159,719827.854
shifter_IN_32_OUT_64_clk_500,32,64,500,323,280,93.865,2360.872,627894.568,630255.440
shifter_IN_32_OUT_64_clk_550,32,64,550,373,280,93.865,2359.934,592053.819,594413.753
shifter_IN_32_OUT_64_clk_600,32,64,600,423,280,93.865,2360.722,561687.633,564048.355
shifter_IN_32_OUT_64_clk_650,32,64,650,473,280,93.865,2360.011,536388.089,538748.100
shifter_IN_32_OUT_64_clk_700,32,64,700,523,280,93.865,2359.271,504768.101,507127.372
shifter_IN_32_OUT_64_clk_750,32,64,750,573,280,93.865,2363.106,484362.102,486725.208
shifter_IN_32_OUT_64_clk_800,32,64,800,623,280,93.865,2360.612,460736.308,463096.920
